trial,sc,dc,latency
0,0,1,4219
1,0,1,2555
2,0,1,7253
3,0,1,3775
4,0,1,9325
5,0,1,5921
6,0,1,5736
7,0,1,9103
8,0,1,9843
9,0,1,7475
10,0,1,4996
11,0,1,9880
12,0,1,3997
13,0,1,11545
14,0,1,3368
15,0,1,7512
16,0,1,4811
17,0,1,9399
18,0,1,6032
19,0,1,7771
20,0,1,5366
21,0,1,10398
22,0,1,5218
23,0,1,9177
24,0,1,6217
25,0,1,8770
26,0,1,10842
27,0,1,9843
28,0,1,6624
29,0,1,8955
30,0,1,6994
31,0,1,7623
32,0,1,9547
33,0,1,7808
34,0,1,7068
35,0,1,7882
36,0,1,4108
37,0,1,6217
38,0,1,9473
39,0,1,7401
40,0,1,6883
41,0,1,7105
42,0,1,6846
43,0,1,6698
44,0,1,8585
45,0,1,5144
46,0,1,9917
47,0,1,9325
48,0,1,6217
49,0,1,7993
50,0,1,4663
51,0,1,7031
52,0,1,6920
53,0,1,8548
54,0,1,9917
55,0,1,9584
56,0,1,3775
57,0,1,7105
58,0,1,3368
59,0,1,6920
60,0,1,3516
61,0,1,8881
62,0,1,9362
63,0,1,10908
64,0,1,7697
65,0,1,6069
66,0,1,11841
67,0,1,4515
68,0,1,7031
69,0,1,5662
70,0,1,7734
71,0,1,4478
72,0,1,10731
73,0,1,10361
74,0,1,7438
75,0,1,7919
76,0,1,7660
77,0,1,5292
78,0,1,7105
79,0,1,4811
80,0,1,10028
81,0,1,6217
82,0,1,9251
83,0,1,7586
84,0,1,8807
85,0,1,6883
86,0,1,9103
87,0,1,6069
88,0,1,8141
89,0,1,6846
90,0,1,8659
91,0,1,3775
92,0,1,10065
93,0,1,10065
94,0,1,9214
95,0,1,5773
96,0,1,4404
97,0,1,9584
98,0,1,5995
99,0,1,10739
0,0,2,4920
1,0,2,5475
2,0,2,10174
3,0,2,3551
4,0,2,9101
5,0,2,3255
6,0,2,7769
7,0,2,2959
8,0,2,3662
9,0,2,10137
10,0,2,4180
11,0,2,8768
12,0,2,7621
13,0,2,8879
14,0,2,4957
15,0,2,8842
16,0,2,4143
17,0,2,9138
18,0,2,3218
19,0,2,9175
20,0,2,3625
21,0,2,14579
22,0,2,11175
23,0,2,9066
24,0,2,9066
25,0,2,10213
26,0,2,3183
27,0,2,10583
28,0,2,4885
29,0,2,9473
30,0,2,3183
31,0,2,8992
32,0,2,10843
33,0,2,7419
34,0,2,4311
35,0,2,10009
36,0,2,6827
37,0,2,9750
38,0,2,3275
39,0,2,3238
40,0,2,7863
41,0,2,8455
42,0,2,9158
43,0,2,3423
44,0,2,8936
45,0,2,9121
46,0,2,7345
47,0,2,7530
48,0,2,4977
49,0,2,9491
50,0,2,3275
51,0,2,8233
52,0,2,3127
53,0,2,8677
54,0,2,3275
55,0,2,9491
56,0,2,3719
57,0,2,10342
58,0,2,3645
59,0,2,10786
60,0,2,8455
61,0,2,8159
62,0,2,3571
63,0,2,3423
64,0,2,9454
65,0,2,5347
66,0,2,3043
67,0,2,8815
68,0,2,9185
69,0,2,10184
70,0,2,5522
71,0,2,10147
72,0,2,5800
73,0,2,5189
74,0,2,9925
75,0,2,3154
76,0,2,10961
77,0,2,8408
78,0,2,7890
79,0,2,3487
80,0,2,12589
81,0,2,3598
82,0,2,8186
83,0,2,3265
84,0,2,7335
85,0,2,3450
86,0,2,8815
87,0,2,9721
88,0,2,7927
89,0,2,6410
90,0,2,7853
91,0,2,7557
92,0,2,9037
93,0,2,4042
94,0,2,8445
95,0,2,5568
96,0,2,10221
97,0,2,11590
98,0,2,10600
99,0,2,2932
0,0,3,5235
1,0,3,4199
2,0,3,7307
3,0,3,5716
4,0,3,8047
5,0,3,3644
6,0,3,10554
7,0,3,8796
8,0,3,8010
9,0,3,4643
10,0,3,7779
11,0,3,8140
12,0,3,6872
13,0,3,11886
14,0,3,6058
15,0,3,7233
16,0,3,9083
17,0,3,7492
18,0,3,4680
19,0,3,9231
20,0,3,3533
21,0,3,3311
22,0,3,11729
23,0,3,6419
24,0,3,12746
25,0,3,7011
26,0,3,7233
27,0,3,6567
28,0,3,10739
29,0,3,7982
30,0,3,9897
31,0,3,7131
32,0,3,9795
33,0,3,8408
34,0,3,8574
35,0,3,6188
36,0,3,7011
37,0,3,6900
38,0,3,10452
39,0,3,3922
40,0,3,6891
41,0,3,5392
42,0,3,7723
43,0,3,5448
44,0,3,8713
45,0,3,3348
46,0,3,7391
47,0,3,5170
48,0,3,6123
49,0,3,10045
50,0,3,3727
51,0,3,7807
52,0,3,3496
53,0,3,10073
54,0,3,12709
55,0,3,5568
56,0,3,10221
57,0,3,4347
58,0,3,11747
59,0,3,6521
60,0,3,9795
61,0,3,4865
62,0,3,7196
63,0,3,6382
64,0,3,12126
65,0,3,3644
66,0,3,9675
67,0,3,8158
68,0,3,6234
69,0,3,9305
70,0,3,6706
71,0,3,9675
72,0,3,4153
73,0,3,10193
74,0,3,9305
75,0,3,5975
76,0,3,7529
77,0,3,5244
78,0,3,9897
79,0,3,12293
80,0,3,11516
81,0,3,3487
82,0,3,65573
83,0,3,6336
84,0,3,6105
85,0,3,7159
86,0,3,4023
87,0,3,8223
88,0,3,10748
89,0,3,4514
90,0,3,8537
91,0,3,2867
92,0,3,9018
93,0,3,3385
94,0,3,7122
95,0,3,4837
96,0,3,7649
97,0,3,6465
98,0,3,8417
99,0,3,6160
0,1,0,1536
1,1,0,14634
2,1,0,5717
3,1,0,14014
4,1,0,5948
5,1,0,14060
6,1,0,14236
7,1,0,14449
8,1,0,15152
9,1,0,17686
10,1,0,17705
11,1,0,14412
12,1,0,14356
13,1,0,14088
14,1,0,15115
15,1,0,14079
16,1,0,14893
17,1,0,14560
18,1,0,14930
19,1,0,14967
20,1,0,14560
21,1,0,5643
22,1,0,5754
23,1,0,4294966871
24,1,0,8843
25,1,0,14384
26,1,0,13857
27,1,0,15642
28,1,0,14819
29,1,0,24716
30,1,0,17409
31,1,0,14523
32,1,0,5865
33,1,0,14412
34,1,0,17297
35,1,0,6336
36,1,0,14855
37,1,0,14707
38,1,0,5827
39,1,0,15151
40,1,0,18554
41,1,0,18850
42,1,0,16038
43,1,0,24437
44,1,0,14891
45,1,0,26213
46,1,0,27231
47,1,0,17833
48,1,0,10174
49,1,0,14836
50,1,0,16686
51,1,0,27453
52,1,0,15613
53,1,0,17500
54,1,0,26500
55,1,0,16168
56,1,0,15021
57,1,0,17722
58,1,0,26380
59,1,0,14429
60,1,0,25864
61,1,0,16355
62,1,0,15689
63,1,0,15615
64,1,0,17169
65,1,0,20647
66,1,0,15245
67,1,0,16651
68,1,0,15726
69,1,0,17705
70,1,0,18694
71,1,0,27203
72,1,0,81944
73,1,0,18972
74,1,0,24633
75,1,0,16715
76,1,0,19757
77,1,0,16280
78,1,0,16297
79,1,0,27915
80,1,0,14984
81,1,0,14318
82,1,0,14577
83,1,0,13060
84,1,0,18631
85,1,0,15744
86,1,0,14856
87,1,0,17187
88,1,0,15744
89,1,0,19055
