trial,sc,dc,latency
0,0,1,4294967212
1,0,1,0
2,0,1,4294967170
3,0,1,4294967275
4,0,1,357
5,0,1,357
6,0,1,315
7,0,1,4294967233
8,0,1,252
9,0,1,42
10,0,1,231
11,0,1,63
12,0,1,4294967212
13,0,1,4294967254
14,0,1,189
15,0,1,168
16,0,1,546
17,0,1,4294967233
18,0,1,4294967170
19,0,1,4294967212
20,0,1,4294967233
21,0,1,4294967212
22,0,1,4294967212
23,0,1,378
24,0,1,4294967191
25,0,1,210
26,0,1,4294967170
27,0,1,4294967191
28,0,1,378
29,0,1,4294967170
30,0,1,4294967170
31,0,1,546
32,0,1,273
33,0,1,4294967254
34,0,1,420
35,0,1,210
36,0,1,4294967212
37,0,1,4294967170
38,0,1,84
39,0,1,4294967170
40,0,1,546
41,0,1,273
42,0,1,210
43,0,1,84
44,0,1,189
45,0,1,378
46,0,1,399
47,0,1,4294967254
48,0,1,189
49,0,1,210
50,0,1,4294967275
51,0,1,4294967254
52,0,1,273
53,0,1,525
54,0,1,126
55,0,1,42
56,0,1,105
57,0,1,4294967170
58,0,1,210
59,0,1,567
60,0,1,4294967170
61,0,1,126
62,0,1,4294967170
63,0,1,273
64,0,1,4294967254
65,0,1,4294967233
66,0,1,525
67,0,1,420
68,0,1,4294967170
69,0,1,252
70,0,1,462
71,0,1,4294967170
72,0,1,4294967233
73,0,1,315
74,0,1,126
75,0,1,4294967170
76,0,1,378
77,0,1,4294967233
78,0,1,105
79,0,1,210
80,0,1,462
81,0,1,147
82,0,1,4294967191
83,0,1,4294967254
84,0,1,4294967149
85,0,1,4294967254
86,0,1,504
87,0,1,4294967170
88,0,1,4294967212
89,0,1,294
90,0,1,483
91,0,1,4294967170
92,0,1,4294967233
93,0,1,441
94,0,1,105
95,0,1,189
96,0,1,4294967191
97,0,1,546
98,0,1,483
99,0,1,4294967170
0,0,2,4294966729
1,0,2,4294966708
2,0,2,4294966750
3,0,2,21
4,0,2,4294966645
5,0,2,4294966939
6,0,2,4294966666
7,0,2,4294966918
8,0,2,4294966708
9,0,2,4294967044
10,0,2,4294966687
11,0,2,4294966939
12,0,2,4294966666
13,0,2,4294966981
14,0,2,4294967170
15,0,2,4294966666
16,0,2,4294966729
17,0,2,4294966666
18,0,2,4294966708
19,0,2,4294966708
20,0,2,4294966687
21,0,2,4294966687
22,0,2,4294966729
23,0,2,4294967275
24,0,2,4294966897
25,0,2,4294966687
26,0,2,4294967233
27,0,2,4294966666
28,0,2,4294966855
29,0,2,4294967128
30,0,2,4294966645
31,0,2,4294967023
32,0,2,4294966666
33,0,2,4294966687
34,0,2,4294966855
35,0,2,4294966729
36,0,2,4294966645
37,0,2,4294966687
38,0,2,4294967233
39,0,2,4294966666
40,0,2,4294966750
41,0,2,4294966666
42,0,2,4294966666
43,0,2,4294967149
44,0,2,4294966897
45,0,2,4294966666
46,0,2,4294966729
47,0,2,4294966645
48,0,2,4294966708
49,0,2,4294966729
50,0,2,4294967023
51,0,2,4294967233
52,0,2,4294967254
53,0,2,0
54,0,2,4294967086
55,0,2,4294966645
56,0,2,4294966666
57,0,2,4294966918
58,0,2,4294966918
59,0,2,4294966666
60,0,2,4294966729
61,0,2,4294966708
62,0,2,4294966687
63,0,2,4294967128
64,0,2,4294967044
65,0,2,4294966834
66,0,2,4294966645
67,0,2,4294967107
68,0,2,4294966666
69,0,2,4294966666
70,0,2,4294967107
71,0,2,4294967254
72,0,2,4294966666
73,0,2,4294966981
74,0,2,4294966834
75,0,2,4294966666
76,0,2,4294966666
77,0,2,4294966708
78,0,2,4294967212
79,0,2,4294967254
80,0,2,0
81,0,2,4294966855
82,0,2,4294966666
83,0,2,4294966981
84,0,2,4294966708
85,0,2,4294967023
86,0,2,4294966645
87,0,2,4294966666
88,0,2,4294966645
89,0,2,4294966876
90,0,2,4294966687
91,0,2,4294966687
92,0,2,4294966645
93,0,2,4294966918
94,0,2,4294966666
95,0,2,4294966666
96,0,2,4294967212
97,0,2,4294967170
98,0,2,4294967002
99,0,2,4294966666
0,0,3,4294966729
1,0,3,21
2,0,3,4294966708
3,0,3,4294966687
4,0,3,210
5,0,3,21
6,0,3,4294966792
7,0,3,4294966729
8,0,3,4294966729
9,0,3,4294966729
10,0,3,4294966981
11,0,3,4294966876
12,0,3,4294966687
13,0,3,4294966687
14,0,3,63
15,0,3,4294967002
16,0,3,4294966687
17,0,3,4294966960
18,0,3,4294966708
19,0,3,4294966960
20,0,3,105
21,0,3,4294966687
22,0,3,84
23,0,3,4294966729
24,0,3,4294966750
25,0,3,4294966750
26,0,3,4294966687
27,0,3,4294966729
28,0,3,4294966708
29,0,3,4294967065
30,0,3,4294966708
31,0,3,4294966771
32,0,3,4294966960
33,0,3,4294966771
34,0,3,4294966708
35,0,3,4294967191
36,0,3,4294966687
37,0,3,4294966687
38,0,3,4294966708
39,0,3,4294966729
40,0,3,4294966729
41,0,3,4294967191
42,0,3,4294966771
43,0,3,4294967107
44,0,3,4294966750
45,0,3,4294966834
46,0,3,84
47,0,3,4294966834
48,0,3,4294966960
49,0,3,4294966687
50,0,3,4294966729
51,0,3,4294967275
52,0,3,4294966876
53,0,3,4294966708
54,0,3,4294966687
55,0,3,4294967149
56,0,3,4294966708
57,0,3,4294966687
58,0,3,4294966855
59,0,3,0
60,0,3,4294966687
61,0,3,4294966960
62,0,3,4294966687
63,0,3,4294966729
64,0,3,4294966708
